Date,O3_ug_m3
2010-01-01,65.23037037037037
2010-02-01,73.75357142857142
2010-03-01,95.4025806451613
2010-04-01,119.05533333333332
2010-05-01,99.75161290322582
2010-06-01,123.19266666666667
2010-07-01,123.63677419354839
2010-08-01,106.51677419354839
2010-09-01,117.20066666666666
2010-10-01,93.19354838709677
2010-11-01,68.90799999999999
2010-12-01,55.854000000000006
2011-01-01,58.88962962962963
2011-02-01,81.54928571428572
2011-03-01,92.77935483870968
2011-04-01,105.14533333333334
2011-05-01,112.93677419354839
2011-06-01,141.73933333333335
2011-07-01,126.95032258064516
2011-08-01,121.49677419354839
2011-09-01,97.25931034482758
2011-10-01,82.2174193548387
2011-11-01,71.904
2011-12-01,55.99666666666667
2012-01-01,64.1144
2012-02-01,70.25103448275863
2012-03-01,95.88580645161291
2012-04-01,102.79133333333334
2012-05-01,109.14
2012-06-01,120.482
2012-07-01,118.80451612903227
2012-08-01,102.92709677419356
2012-09-01,89.95133333333334
2012-10-01,78.69677419354838
2012-11-01,72.47466666666668
2012-12-01,57.994
2013-01-01,58.05612903225806
2013-02-01,75.58785714285715
2013-03-01,93.732
2013-04-01,102.49862068965517
2013-05-01,99.33741935483872
2013-06-01,89.51103448275863
2013-07-01,79.608
2013-08-01,89.12064516129031
2013-09-01,105.78733333333334
2013-10-01,76.28064516129032
2013-11-01,64.2
2013-12-01,60.95310344827587
2014-01-01,66.2709677419355
2014-02-01,76.35214285714287
2014-03-01,89.19909090909091
2014-04-01,107.49933333333334
2014-05-01,111.83225806451614
2014-06-01,107.49933333333334
2014-07-01,95.26451612903226
2014-08-01,101.61548387096774
2014-09-01,75.97
2014-10-01,78.62774193548387
2014-11-01,69.62133333333333
2014-12-01,50.69586206896552
2015-01-01,61.30064516129032
2015-02-01,74.89999999999999
2015-03-01,88.29225806451613
2015-04-01,94.16000000000001
2015-05-01,111.34903225806453
2015-06-01,110.35266666666666
2015-07-01,107.8283870967742
2015-08-01,116.31935483870969
2015-09-01,91.52066666666666
2015-10-01,73.10516129032258
2015-11-01,61.418
2015-12-01,54.57
2016-01-01,63.50967741935484
2016-02-01,77.19285714285715
2016-03-01,93.56965517241379
2016-04-01,106.786
2016-05-01,100.37290322580645
2016-06-01,117.27199999999999
2016-07-01,109.36928571428572
2016-08-01,90.57032258064515
2016-09-01,96.87066666666666
2016-10-01,90.15612903225806
2016-11-01,75.68466666666667
2016-12-01,54.57
2017-01-01,61.489333333333335
2017-02-01,91.46518518518518
2017-03-01,97.26645161290323
2017-04-01,93.27448275862069
2017-05-01,101.65
2017-06-01,97.18551724137932
2017-07-01,105.89548387096775
2017-08-01,96.43806451612903
2017-09-01,95.56206896551723
2017-10-01,76.07354838709678
2017-11-01,65.76933333333334
2017-12-01,61.91733333333333
2018-01-01,68.19466666666668
2018-02-01,66.02296296296296
2018-03-01,92.77935483870968
2018-04-01,105.59793103448277
2018-05-01,97.12838709677419
2018-06-01,116.98666666666666
2018-07-01,106.86193548387097
2018-08-01,99.61354838709677
2018-09-01,81.76583333333333
2018-10-01,76.2116129032258
2018-11-01,58.992666666666665
2018-12-01,55.12344827586207
2019-01-01,64.2
2019-02-01,72.98928571428571
2019-03-01,93.67677419354838
2019-04-01,98.868
2019-05-01,98.93933333333332
2019-06-01,101.864
2019-07-01,108.31161290322581
2019-08-01,106.5858064516129
2019-09-01,115.27466666666668
2019-10-01,85.11677419354838
2019-11-01,64.91333333333334
2019-12-01,62.4741935483871
