Date,T2M,PRECTOTCORR
2010-01-01,1.5193548387096774,135.44
2010-02-01,1.7042857142857142,110.60000000000001
2010-03-01,9.450645161290323,88.02
2010-04-01,16.604666666666667,41.339999999999996
2010-05-01,21.703225806451613,126.42
2010-06-01,27.191666666666666,78.56
2010-07-01,28.02,116.07000000000001
2010-08-01,27.315806451612904,104.73
2010-09-01,24.47266666666667,92.91
2010-10-01,16.728387096774195,41.19
2010-11-01,10.329333333333333,45.650000000000006
2010-12-01,0.807741935483871,35.17
2011-01-01,1.9983870967741937,38.55
2011-02-01,7.4121428571428565,79.03
2011-03-01,10.553548387096775,116.84
2011-04-01,17.237000000000002,66.13
2011-05-01,21.629677419354838,117.84
2011-06-01,26.919,74.88000000000001
2011-07-01,28.530967741935484,104.14
2011-08-01,27.096774193548388,92.93
2011-09-01,22.771333333333335,128.67000000000002
2011-10-01,14.55,73.09
2011-11-01,10.909666666666668,95.91
2011-12-01,8.100322580645162,68.0
2012-01-01,6.333225806451614,67.48
2012-02-01,7.7282758620689656,37.38
2012-03-01,15.388709677419355,77.3
2012-04-01,16.949,67.08
2012-05-01,21.904516129032256,137.54999999999998
2012-06-01,24.279333333333334,69.83
2012-07-01,28.08516129032258,139.7
2012-08-01,24.886451612903226,129.60999999999999
2012-09-01,21.90266666666667,90.5
2012-10-01,15.757741935483871,38.41
2012-11-01,8.111,21.81
2012-12-01,8.551935483870968,114.06
2013-01-01,7.011290322580645,107.11
2013-02-01,4.815357142857143,97.49
2013-03-01,6.763548387096773,80.59
2013-04-01,15.216666666666667,116.43
2013-05-01,18.877741935483872,101.87
2013-06-01,24.011333333333333,190.16
2013-07-01,25.043548387096774,219.98000000000002
2013-08-01,24.001290322580644,117.29
2013-09-01,21.352333333333334,61.129999999999995
2013-10-01,16.86064516129032,24.2
2013-11-01,8.270666666666667,84.38999999999999
2013-12-01,7.238709677419355,160.45
2014-01-01,1.3138709677419356,77.25999999999999
2014-02-01,5.499642857142858,69.92
2014-03-01,7.259677419354839,116.4
2014-04-01,15.325333333333333,121.85
2014-05-01,20.90806451612903,86.62
2014-06-01,25.427333333333333,99.29
2014-07-01,25.98677419354839,133.74
2014-08-01,24.838387096774195,95.64999999999999
2014-09-01,22.659,109.42
2014-10-01,17.082903225806454,39.5
2014-11-01,7.816333333333334,110.35
2014-12-01,6.7864516129032255,88.48
2015-01-01,3.6267741935483873,68.13
2015-02-01,1.8460714285714286,69.69
2015-03-01,10.751612903225807,56.97
2015-04-01,16.398666666666667,127.25
2015-05-01,21.719032258064516,20.99
2015-06-01,27.238999999999997,78.41
2015-07-01,28.38935483870968,72.4
2015-08-01,26.741612903225807,89.81
2015-09-01,23.279333333333334,96.92
2015-10-01,15.432903225806452,190.78
2015-11-01,12.046333333333333,217.7
2015-12-01,12.60741935483871,202.05
2016-01-01,2.809032258064516,50.019999999999996
2016-02-01,5.922068965517242,84.97
2016-03-01,13.300967741935484,52.95
2016-04-01,15.146666666666667,41.230000000000004
2016-05-01,19.529354838709676,146.34
2016-06-01,26.178,77.21
2016-07-01,29.019032258064517,96.92999999999999
2016-08-01,28.013870967741934,75.05
2016-09-01,24.836333333333336,105.53
2016-10-01,17.79806451612903,82.44
2016-11-01,11.812999999999999,27.41
2016-12-01,6.34,65.72
2017-01-01,7.69258064516129,123.73
2017-02-01,10.420714285714284,30.16
2017-03-01,10.84,70.78
2017-04-01,18.228,141.79000000000002
2017-05-01,21.041935483870965,156.61
2017-06-01,24.33,108.47
2017-07-01,27.381290322580647,104.33
2017-08-01,25.948064516129033,114.55
2017-09-01,22.311333333333334,79.26
2017-10-01,18.043548387096774,69.72
2017-11-01,10.707333333333334,24.84
2017-12-01,5.753548387096774,66.87
2018-01-01,2.2261290322580645,77.76
2018-02-01,11.543571428571429,81.00999999999999
2018-03-01,8.766774193548386,92.43
2018-04-01,14.202,119.77
2018-05-01,22.618709677419353,125.61
2018-06-01,26.49866666666667,78.45
2018-07-01,27.021612903225805,108.3
2018-08-01,26.543225806451613,118.86
2018-09-01,25.461000000000002,213.79999999999998
2018-10-01,16.86,136.0
2018-11-01,8.523666666666667,159.91
2018-12-01,7.025161290322581,178.57
2019-01-01,5.48741935483871,107.99
2019-02-01,9.096428571428572,118.07
2019-03-01,9.7,78.61
2019-04-01,16.472666666666665,117.03999999999999
2019-05-01,22.720322580645163,75.34
2019-06-01,24.299666666666667,118.81
2019-07-01,27.55354838709677,97.74000000000001
2019-08-01,26.656129032258065,101.7
2019-09-01,26.302333333333333,12.0
2019-10-01,19.891612903225806,118.3
2019-11-01,8.347333333333333,82.52
2019-12-01,7.799677419354839,148.4
